127.0.0.1, 2016-09-28 22:42:18, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.756000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:19, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-09-28 22:42:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-09-28 22:42:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-09-28 22:42:34, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-09-28 22:42:38, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.032000
127.0.0.1, 2016-10-04 14:07:21, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.547000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.036000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.027000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.073000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-10-04 14:07:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.101000
127.0.0.1, 2016-10-04 14:07:26, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-04 14:07:26, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-04 14:07:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-10-04 14:07:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-04 14:07:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-10-13 12:34:51, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.580000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.021000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.018000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.026000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.044000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.035000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.017000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.044000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.090000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.064000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.073000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.007000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-10-13 12:34:52, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.003000

127.0.0.1, 2016-10-13 12:34:53, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-10-13 18:40:25, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2016-10-13 18:40:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-10-13 18:40:32, GET, /welcome/start, HTTP/1.1, 404, 0.012000
127.0.0.1, 2016-10-13 18:40:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-13 18:41:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-10-13 18:41:42, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2016-10-13 18:41:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.104000
127.0.0.1, 2016-10-13 18:41:47, GET, /welcome/start, HTTP/1.1, 404, 0.016000
127.0.0.1, 2016-10-13 18:41:47, GET, /favicon.ico, HTTP/1.1, 400, 0.004000
127.0.0.1, 2016-10-13 18:41:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-10-13 19:16:50, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-10-13 19:16:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.172000
127.0.0.1, 2016-10-13 19:16:55, GET, /start, HTTP/1.1, 404, 0.001000
127.0.0.1, 2016-10-13 19:16:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-10-13 19:16:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2016-10-13 19:22:31, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-10-13 19:22:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.153000
127.0.0.1, 2016-10-14 11:38:51, GET, /, HTTP/1.1, 303, 0.002000
